affiliation,addr,name,latitude,longitude,id,country,continent
"3) Department of Mathematics, Zhejiang Sci-Tech University, Hangzhou, Zhejiang 310018,","Zhejiang Sci-Tech University, Hangzhou, Zhejiang 310018,","3) Department of Mathematics, Zhejiang Sci-Tech University",30.31545455,120.348695808155,150,,
"Quantum Brilliance Pty Ltd, The Australian National University, Australia","Quantum Brilliance Pty Ltd, The Australian National University, Australia","Quantum Brilliance Pty Ltd, The Australian National University",,,151,,
"NV center acts as bus for initialization and readout of the nitrogen spin qubit,","NV center acts as bus for initialization and readout of the nitrogen spin qubit,","NV center acts as bus for initialization and readout of the nitrogen spin qubit,",,,152,,
"dialects, such as IBM’s OpenQASM [30] and Rigetti’s Quil [31], based on","dialects, such as IBM’s OpenQASM [30] and Rigetti’s Quil [31], based on","dialects, such as IBM’s OpenQASM [30] and Rigetti’s Quil [31]",,,153,,
"STJ is with the Department of Computer Science, University of Birm-","STJ is with the Department of Computer Science, University of Birm-",STJ is with the Department of Computer Science,,,154,,
"gineering, King’s College London (email: osvaldo.simeone@kcl.ac.uk). The","gineering, King’s College London (email: osvaldo.simeone@kcl.ac.uk). The",gineering,,,155,,
"Computer Science and Engineering, Central South University, Changsha","Computer Science and Engineering, Central South University, Changsha","Computer Science and Engineering, Central South University",,,156,,
"10083, PR China.","10083, PR China.",10083,-23.47613425,-46.8578693281882,157,Brazil,South America
"weight. Finally, a series of experiments are carried out on IBM","weight. Finally, a series of experiments are carried out on IBM",weight. Finally,,,158,,
"School of Computer Science, Faculty of Engineering, The University of Sydney, Sydney, Australia","Faculty of Engineering, The University of Sydney, Sydney, Australia","School of Computer Science, Faculty of Engineering",,,159,,
"Hon Hai Quantum Computing Research Center, Taipei, Taiwan","Hon Hai Quantum Computing Research Center, Taipei, Taiwan","Hon Hai Quantum Computing Research Center, Taipei",,,160,,
"Department of Electronics and Information Convergence Engineering, Kyung Hee University, Korea","Department of Electronics and Information Convergence Engineering, Kyung Hee University, Korea","Department of Electronics and Information Convergence Engineering, Kyung Hee University",,,161,,
"Centre for Quantum Technologies, National University of Singapore, 3 Science Drive 2 117543, Singapore.","National University of Singapore, 3 Science Drive 2 117543, Singapore.","Centre for Quantum Technologies, National University of Singapore",,,162,,
"Imperial College London, London, UK.","Imperial College London, London, UK.","Imperial College London, London",51.4989595,-0.175641259787945,163,United Kingdom,Europe
"Information Sciences, Los Alamos National Laboratory, Los Alamos, NM, USA.","Los Alamos National Laboratory, Los Alamos, NM, USA.","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,164,United States of America,North America
"Quantum Science Center, Oak Ridge, TN 37931, USA","Oak Ridge, TN 37931, USA","Quantum Science Center, Oak Ridge",36.0103562,-84.2696449,165,United States of America,North America
"Institute of Physics, Ecole Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Ecole Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Institute of Physics, Ecole Polytechnique Fédérale de Lausanne (EPFL)",,,166,,
"JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111",,,167,,
"School of Computer Science, Faculty of Engineering, The University of Sydney, Darlington, NSW 2008, Australia","Faculty of Engineering, The University of Sydney, Darlington, NSW 2008, Australia","School of Computer Science, Faculty of Engineering",,,168,,
"Center on Frontiers of Computing Studies, Department of Computer Science, Peking University, Beijing 100871, China","Department of Computer Science, Peking University, Beijing 100871, China","Center on Frontiers of Computing Studies, Department of Computer Science",,,169,,
"Department of Mathematics, Technical University of Munich, Garching, Germany","Technical University of Munich, Garching, Germany","Department of Mathematics, Technical University of Munich",48.2655696,11.669345610438,170,Germany,Europe
"Munich Center for Quantum Science and Technology (MCQST), Munich, Germany","Munich Center for Quantum Science and Technology (MCQST), Munich, Germany","Munich Center for Quantum Science and Technology (MCQST), Munich",,,171,,
"Institute for Quantum Information and Matter, Caltech, Pasadena, CA, USA","Caltech, Pasadena, CA, USA","Institute for Quantum Information and Matter, Caltech",34.13701375,-118.125288248796,172,United States of America,North America
"Department of Computing and Mathematical Sciences, Caltech, Pasadena, CA, USA","Caltech, Pasadena, CA, USA","Department of Computing and Mathematical Sciences, Caltech",34.13701375,-118.125288248796,173,United States of America,North America
"Information Sciences, Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,174,United States of America,North America
"Center for Nonlinear Studies, Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Center for Nonlinear Studies, Los Alamos National Laboratory",35.81831485,-106.265427979899,175,United States of America,North America
"Joint Center for Quantum Information and Computer Science,","Joint Center for Quantum Information and Computer Science,","Joint Center for Quantum Information and Computer Science,",,,176,,
"University of Maryland, College Park, Maryland 20742, USA","College Park, Maryland 20742, USA","University of Maryland, College Park",38.99041245,-76.9438585924238,177,United States of America,North America
"Quantum Science Center, Oak Ridge, TN 37931, USA","Oak Ridge, TN 37931, USA","Quantum Science Center, Oak Ridge",36.0103562,-84.2696449,178,United States of America,North America
"Theoretical Division, Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Theoretical Division, Los Alamos National Laboratory",35.81831485,-106.265427979899,179,United States of America,North America
"Centre for Quantum Technologies, National University of Singapore, 3 Science Drive 2 117543, Singapore.","National University of Singapore, 3 Science Drive 2 117543, Singapore.","Centre for Quantum Technologies, National University of Singapore",,,180,,
"Imperial College London, London, UK.","Imperial College London, London, UK.","Imperial College London, London",51.4989595,-0.175641259787945,181,United Kingdom,Europe
"Information Sciences, Los Alamos National Laboratory, Los Alamos, NM, USA.","Los Alamos National Laboratory, Los Alamos, NM, USA.","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,182,United States of America,North America
"Quantum Science Center, Oak Ridge, TN 37931, USA","Oak Ridge, TN 37931, USA","Quantum Science Center, Oak Ridge",36.0103562,-84.2696449,183,United States of America,North America
"Institute of Physics, Ecole Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Ecole Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Institute of Physics, Ecole Polytechnique Fédérale de Lausanne (EPFL)",,,184,,
"Department of Physics and Astronomy, University of Exeter,","Department of Physics and Astronomy, University of Exeter,",Department of Physics and Astronomy,,,185,,
"Stocker Road, Exeter EX4 4QL, United Kingdom","Stocker Road, Exeter EX4 4QL, United Kingdom","Stocker Road, Exeter EX4 4QL",50.7371282,-3.5369048,186,United Kingdom,Europe
" Canada Square, London E14 5HQ, United Kingdom","Canada Square, London E14 5HQ, United Kingdom"," Canada Square, London E14 5HQ",51.5050819,-0.0176613,187,United Kingdom,Europe
"Institute for Theoretical Physics, University of Innsbruck, Technikerstr. 21a, A-6020 Innsbruck, Austria","University of Innsbruck, Technikerstr. 21a, A-6020 Innsbruck, Austria","Institute for Theoretical Physics, University of Innsbruck",,,188,,
"Max Planck Institute for Intelligent Systems, Tübingen, Germany","Max Planck Institute for Intelligent Systems, Tübingen, Germany","Max Planck Institute for Intelligent Systems, Tübingen",48.53550375,9.05792173852176,189,Germany,Europe
"Leiden University, Niels Bohrweg 1, 2333 CA Leiden, Netherlands","Niels Bohrweg 1, 2333 CA Leiden, Netherlands","Leiden University, Niels Bohrweg 1",52.1693239,4.4571019,190,Netherlands,Europe
"Dahlem Center for Complex Quantum Systems, Freie Universität Berlin, 14195 Berlin, Germany","Freie Universität Berlin, 14195 Berlin, Germany","Dahlem Center for Complex Quantum Systems, Freie Universität Berlin",52.4549616,13.2962740073688,191,Germany,Europe
"Helmholtz-Zentrum Berlin für Materialien und Energie, 14109 Berlin, Germany","Helmholtz-Zentrum Berlin für Materialien und Energie, 14109 Berlin, Germany","Helmholtz-Zentrum Berlin für Materialien und Energie, 14109 Berlin",52.4101021,13.1297326740937,192,Germany,Europe
"Fraunhofer Heinrich Hertz Institute, 10587 Berlin, Germany","Fraunhofer Heinrich Hertz Institute, 10587 Berlin, Germany","Fraunhofer Heinrich Hertz Institute, 10587 Berlin",52.51644635,13.3248774529055,193,Germany,Europe
"JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111",,,194,,
"The University of Sydney, Darlington, NSW 2008, Australia","Darlington, NSW 2008, Australia","The University of Sydney, Darlington",-33.890862,151.1932156,195,Australia,Australia
"Centre for Quantum Technologies,","Centre for Quantum Technologies,","Centre for Quantum Technologies,",1.2970694,103.7800945,196,Singapore,Asia
"National University of Singapore, 3","National University of Singapore, 3",National University of Singapore,,,197,,
"Science Drive 2, Singapore 117543,","Science Drive 2, Singapore 117543,",Science Drive 2,1.2969274,103.778780111151,198,Singapore,Asia
"Engineering, Technical University of","Engineering, Technical University of",Engineering,,,199,,
"Pritzker School of Molecular Engineering, The University of Chicago, Chicago, IL 60637, USA","The University of Chicago, Chicago, IL 60637, USA","Pritzker School of Molecular Engineering, The University of Chicago",41.79139685,-87.6008438719354,200,United States of America,North America
"Chicago Quantum Exchange, Chicago, IL 60637, USA","Chicago, IL 60637, USA","Chicago Quantum Exchange, Chicago",41.8755616,-87.6244212,201,United States of America,North America
"Kadanoff Center for Theoretical Physics, The University of Chicago, Chicago, IL 60637, USA","The University of Chicago, Chicago, IL 60637, USA","Kadanoff Center for Theoretical Physics, The University of Chicago",41.79139685,-87.6008438719354,202,United States of America,North America
"IBM Quantum, IBM T. J. Watson Research Center, Yorktown Heights, NY 10598, USA","IBM T. J. Watson Research Center, Yorktown Heights, NY 10598, USA","IBM Quantum, IBM T. J. Watson Research Center",,,203,,
"Joint Center for Quantum Information and Computer Science,","Joint Center for Quantum Information and Computer Science,","Joint Center for Quantum Information and Computer Science,",,,204,,
"University of Maryland, College Park, Maryland 20742, USA","College Park, Maryland 20742, USA","University of Maryland, College Park",38.99041245,-76.9438585924238,205,United States of America,North America
"IBM Quantum, IBM Research, Zurich, 8803 Rüschlikon, Switzerland","IBM Research, Zurich, 8803 Rüschlikon, Switzerland","IBM Quantum, IBM Research",47.30918255,8.54474336145566,206,Switzerland,Europe
the University of Sydney. (Corresponding authors: Yuxuan Du; Dacheng Tao.),the University of Sydney. (Corresponding authors: Yuxuan Du; Dacheng Tao.),the University of Sydney. (Corresponding authors: Yuxuan Du; Dacheng Tao.),,,207,,
"Yang Qian was with the JD Explore Academy, Beijing 101111, China.","Yang Qian was with the JD Explore Academy, Beijing 101111, China.","Yang Qian was with the JD Explore Academy, Beijing 101111",,,208,,
"He is now with the School of Computer Science, Faculty of Engineering, The","He is now with the School of Computer Science, Faculty of Engineering, The","He is now with the School of Computer Science, Faculty of Engineering",,,209,,
"University of Sydney, Sydney, NSW 2006, Australia.","Sydney, NSW 2006, Australia.","University of Sydney, Sydney",-33.8698439,151.2082848,210,Australia,Australia
"Xinbiao Wang was with the JD Explore Academy, Beijing 101111, China.","Xinbiao Wang was with the JD Explore Academy, Beijing 101111, China.","Xinbiao Wang was with the JD Explore Academy, Beijing 101111",,,211,,
"He is now with the Institute of Artificial Intelligence, School of Computer","He is now with the Institute of Artificial Intelligence, School of Computer",He is now with the Institute of Artificial Intelligence,,,212,,
"Science, Wuhan University, Wuhan, Hubei 430072, China.","Wuhan University, Wuhan, Hubei 430072, China.","Science, Wuhan University",30.53735405,114.361520319171,213,China,Asia
"01111, China (e-mail: duyuxuan123@gmail.com).","01111, China (e-mail: duyuxuan123@gmail.com).",01111,,,214,,
"Dacheng Tao is with the JD Explore Academy, Beijing 101111, China,","Dacheng Tao is with the JD Explore Academy, Beijing 101111, China,","Dacheng Tao is with the JD Explore Academy, Beijing 101111",,,215,,
"and also with the School of Computer Science, Faculty of Engineer-","and also with the School of Computer Science, Faculty of Engineer-",and also with the School of Computer Science,,,216,,
"ing, The University of Sydney, Sydney, NSW 2006, Australia (e-mail:","The University of Sydney, Sydney, NSW 2006, Australia (e-mail:","ing, The University of Sydney",,,217,,
"Department of Physics, University of Waterloo, Waterloo, ON, N2L 3G1, Canada","University of Waterloo, Waterloo, ON, N2L 3G1, Canada","Department of Physics, University of Waterloo",43.4701994,-80.5452429377945,218,Canada,North America
"Institute for Quantum Computing, Waterloo, ON, N2L 3G1, Canada","Waterloo, ON, N2L 3G1, Canada","Institute for Quantum Computing, Waterloo",43.4652699,-80.5222961,219,Canada,North America
"Xanadu, Toronto, ON, M5G 2C8, Canada","Toronto, ON, M5G 2C8, Canada","Xanadu, Toronto",43.6534817,-79.3839347,220,Canada,North America
"Department of Physics and Astronomy, Seoul National University, 08826 Seoul, South Korea","Seoul National University, 08826 Seoul, South Korea","Department of Physics and Astronomy, Seoul National University",37.4556576,126.950757499139,221,South Korea,Asia
" Center for Quantum Information, IIIS, Tsinghua University,","Center for Quantum Information, IIIS, Tsinghua University,"," Center for Quantum Information, IIIS",,,222,,
"Beijing 100084, People’s Republic of China","Beijing 100084, People’s Republic of China",Beijing 100084,39.9918838,116.3216532,223,China,Asia
" Shanghai Qi Zhi Institute, 41th Floor, AI Tower, No. 701 Yunjin Road,","41th Floor, AI Tower, No. 701 Yunjin Road,"," Shanghai Qi Zhi Institute, 41th Floor",,,224,,
"Xuhui District, Shanghai 200232, China","Xuhui District, Shanghai 200232, China","Xuhui District, Shanghai 200232",31.1900943,121.4311138,225,China,Asia
"AWE, Reading, UK.","AWE, Reading, UK.","AWE, Reading",,,226,,
"Information Sciences, Los Alamos National Laboratory, Los Alamos, NM, USA.","Los Alamos National Laboratory, Los Alamos, NM, USA.","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,227,United States of America,North America
"Department of Mathematics, Technical University of Munich, Garching, Germany.","Technical University of Munich, Garching, Germany.","Department of Mathematics, Technical University of Munich",48.2655696,11.669345610438,228,Germany,Europe
"Munich Center for Quantum Science and Technology (MCQST), Munich, Germany.","Munich Center for Quantum Science and Technology (MCQST), Munich, Germany.","Munich Center for Quantum Science and Technology (MCQST), Munich",,,229,,
"Dahlem Center for Complex Quantum Systems, Freie Universität Berlin, Berlin, Germany.","Freie Universität Berlin, Berlin, Germany.","Dahlem Center for Complex Quantum Systems, Freie Universität Berlin",52.4549616,13.2962740073688,230,Germany,Europe
"Department of Physics & Astronomy, University of Southern California, Los Angeles, CA, USA","University of Southern California, Los Angeles, CA, USA","Department of Physics & Astronomy, University of Southern California",34.0218833,-118.28586662125,231,United States of America,North America
"Institute for Quantum Information and Matter, Caltech, Pasadena, CA, USA.","Caltech, Pasadena, CA, USA.","Institute for Quantum Information and Matter, Caltech",34.13701375,-118.125288248796,232,United States of America,North America
"Department of Computing and Mathematical Sciences, Caltech, Pasadena, CA, USA","Caltech, Pasadena, CA, USA","Department of Computing and Mathematical Sciences, Caltech",34.13701375,-118.125288248796,233,United States of America,North America
"Theoretical Division, Los Alamos National Laboratory, Los Alamos, NM, USA.","Los Alamos National Laboratory, Los Alamos, NM, USA.","Theoretical Division, Los Alamos National Laboratory",35.81831485,-106.265427979899,234,United States of America,North America
"School of Computer Science, The University of Sydney","School of Computer Science, The University of Sydney",School of Computer Science,,,235,,
"LIACS, Leiden University, Niels Bohrweg 1, 2333 CA Leiden, Netherlands","Leiden University, Niels Bohrweg 1, 2333 CA Leiden, Netherlands","LIACS, Leiden University",,,236,,
"Friedrich-Alexander University Erlangen-Nürnberg (FAU), Department of Physics, Erlangen, Germany","Department of Physics, Erlangen, Germany","Friedrich-Alexander University Erlangen-Nürnberg (FAU), Department of Physics",,,237,,
" Center for Quantum Information, IIIS, Tsinghua University, Beijing 100084, People’s Republic of China","IIIS, Tsinghua University, Beijing 100084, People’s Republic of China"," Center for Quantum Information, IIIS",,,238,,
"Information Sciences, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,239,United States of America,North America
"Electrical and Computer Engineering, University of Illinois Urbana-Champaign, Urbana, Illinois, 61801, USA†","University of Illinois Urbana-Champaign, Urbana, Illinois, 61801, USA†","Electrical and Computer Engineering, University of Illinois Urbana-Champaign",,,240,,
"Theoretical Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Theoretical Division, Los Alamos National Laboratory",35.81831485,-106.265427979899,241,United States of America,North America
"Center for Nonlinear Studies, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Center for Nonlinear Studies, Los Alamos National Laboratory",35.81831485,-106.265427979899,242,United States of America,North America
"Harvard Quantum Initiative, Harvard University, Cambridge, Massachusetts 02138, USA","Harvard University, Cambridge, Massachusetts 02138, USA","Harvard Quantum Initiative, Harvard University",42.36530955,-71.1154431036783,243,United States of America,North America
"Institute for Quantum Computing, Baidu Research, China","Institute for Quantum Computing, Baidu Research, China","Institute for Quantum Computing, Baidu Research",,,244,,
"Centre for Quantum Software and Information, University of Technology Sydney, Australia","Centre for Quantum Software and Information, University of Technology Sydney, Australia","Centre for Quantum Software and Information, University of Technology Sydney",,,245,,
"Institute of Remote Sensing and Geographical Information Systems, Peking University, China","Institute of Remote Sensing and Geographical Information Systems, Peking University, China","Institute of Remote Sensing and Geographical Information Systems, Peking University",,,246,,
"Department of Mathematics, King’s College London, Strand, London WC2R 2LS, United Kingdom","King’s College London, Strand, London WC2R 2LS, United Kingdom","Department of Mathematics, King’s College London",51.5151076,-0.110672524783294,247,United Kingdom,Europe
"Department of Physics, Amherst, Massachusetts, United States of America","Amherst, Massachusetts, United States of America","Department of Physics, Amherst",42.3685658,-72.505714,248,United States of America,North America
"London Centre for Nanotechnology, University College London,","London Centre for Nanotechnology, University College London,",London Centre for Nanotechnology,,,249,,
"Gordon St., London, WC1H 0AH, United Kingdom","London, WC1H 0AH, United Kingdom","Gordon St., London",51.5073219,-0.1276474,250,United Kingdom,Europe
"F́ısica Teòrica: Informació i Fenòmens Quàntics, Departament de F́ısica, Universitat Autònoma de Barcelona, 08193 Bel-","Departament de F́ısica, Universitat Autònoma de Barcelona, 08193 Bel-","F́ısica Teòrica: Informació i Fenòmens Quàntics, Departament de F́ısica",,,251,,
"laterra, Spain. marco.fanizza@uab.cat","laterra, Spain. marco.fanizza@uab.cat",laterra,,,252,,
"Dahlem Center for Complex Quantum Systems, Freie Universität Berlin, 14195 Berlin, Germany. yihuiquek3.14@gmail.com","Freie Universität Berlin, 14195 Berlin, Germany. yihuiquek3.14@gmail.com","Dahlem Center for Complex Quantum Systems, Freie Universität Berlin",,,253,,
"Dipartimento di Ingegneria, Universitá “Roma Tre”, Via Vito Volterra 62, I-00146 Rome, Italy. matteo.rosati@uniroma3.it","Universitá “Roma Tre”, Via Vito Volterra 62, I-00146 Rome, Italy. matteo.rosati@uniroma3.it","Dipartimento di Ingegneria, Universitá “Roma Tre”",,,254,,
" Center for Quantum Information, IIIS, Tsinghua University, Beijing 100084, People’s Republic of China","IIIS, Tsinghua University, Beijing 100084, People’s Republic of China"," Center for Quantum Information, IIIS",,,255,,
"School of Informatics, University of Edinburgh, 10 Crichton Street, Edinburgh, United Kingdom","University of Edinburgh, 10 Crichton Street, Edinburgh, United Kingdom","School of Informatics, University of Edinburgh",,,256,,
"QC Ware, Palo Alto, USA and Paris, France","Palo Alto, USA and Paris, France","QC Ware, Palo Alto",,,257,,
"Laboratoire d’Informatique de Paris 6, CNRS, Sorbonne Université, 4 Place Jussieu, 75005 Paris, France","CNRS, Sorbonne Université, 4 Place Jussieu, 75005 Paris, France","Laboratoire d’Informatique de Paris 6, CNRS",,,258,,
"PASQAL SAS, 7 avenue Léonard de Vinci, 91300 Massy, France","7 avenue Léonard de Vinci, 91300 Massy, France","PASQAL SAS, 7 avenue Léonard de Vinci",,,259,,
"applied Quantum algorithms (aQa), Leiden University, The Netherlands","applied Quantum algorithms (aQa), Leiden University, The Netherlands","applied Quantum algorithms (aQa), Leiden University",,,260,,
"Pasqal SAS, 2 av. Augustin Fresnel, 91120 Palaiseau, France","2 av. Augustin Fresnel, 91120 Palaiseau, France","Pasqal SAS, 2 av. Augustin Fresnel",48.7137323,2.20253693880756,261,France,Europe
"Department of Physics and Astronomy, University of Exeter, Stocker Road, Exeter EX4 4QL, United Kingdom","University of Exeter, Stocker Road, Exeter EX4 4QL, United Kingdom","Department of Physics and Astronomy, University of Exeter",50.7351141,-3.533914,262,United Kingdom,Europe
"Leiden University, Leiden, The Netherlands","Leiden University, Leiden, The Netherlands","Leiden University, Leiden",52.16863385,4.45966305742133,263,Netherlands,Europe
"Pasqal SAS, 2 av. Augustin Fresnel, 91120 Palaiseau, France","2 av. Augustin Fresnel, 91120 Palaiseau, France","Pasqal SAS, 2 av. Augustin Fresnel",48.7137323,2.20253693880756,264,France,Europe
"Department of Physics and Astronomy, University of Exeter,","Department of Physics and Astronomy, University of Exeter,",Department of Physics and Astronomy,,,265,,
"Stocker Road, Exeter EX4 4QL, United Kingdom","Stocker Road, Exeter EX4 4QL, United Kingdom","Stocker Road, Exeter EX4 4QL",50.7371282,-3.5369048,266,United Kingdom,Europe
"Dipartimento di Ingegneria, Universitá “Roma Tre”, Via Vito Volterra 62, I-00146 Rome, Italy","Universitá “Roma Tre”, Via Vito Volterra 62, I-00146 Rome, Italy","Dipartimento di Ingegneria, Universitá “Roma Tre”",,,267,,
"JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111",,,268,,
"School of Computer Science, The University of Sydney, Darlington, NSW 2008, Australia","The University of Sydney, Darlington, NSW 2008, Australia","School of Computer Science, The University of Sydney",-33.891747,151.190626709674,269,Australia,Australia
"Center on Frontiers of Computing Studies, Peking University, Beijing 100871, China","Peking University, Beijing 100871, China","Center on Frontiers of Computing Studies, Peking University",39.99171495,116.303934968635,270,China,Asia
"School of Computer Science, Peking University, Beijing 100871, China","Peking University, Beijing 100871, China","School of Computer Science, Peking University",39.99171495,116.303934968635,271,China,Asia
"Fraunhofer IIS, Fraunhofer Institute for Integrated Circuits IIS, Nuremberg, Germany","Fraunhofer Institute for Integrated Circuits IIS, Nuremberg, Germany","Fraunhofer IIS, Fraunhofer Institute for Integrated Circuits IIS",,,272,,
"and Google [2], research in quantum computing started shift-","and Google [2], research in quantum computing started shift-",and Google [2],,,273,,
" place Jussieu, 75005 Paris, France","place Jussieu, 75005 Paris, France"," place Jussieu, 75005 Paris",48.84625505,2.35476164364477,274,France,Europe
University of Edinburgh,University of Edinburgh,University of Edinburgh,55.94407645,-3.18837355639646,275,United Kingdom,Europe
"EH8 9AB Edinburgh, United Kingdom","EH8 9AB Edinburgh, United Kingdom",EH8 9AB Edinburgh,55.94471,-3.18742,276,United Kingdom,Europe
" place Jussieu, 75005 Paris, France","place Jussieu, 75005 Paris, France"," place Jussieu, 75005 Paris",48.84625505,2.35476164364477,277,France,Europe
University of Edinburgh,University of Edinburgh,University of Edinburgh,55.94407645,-3.18837355639646,278,United Kingdom,Europe
"EH8 9AB Edinburgh, United Kingdom","EH8 9AB Edinburgh, United Kingdom",EH8 9AB Edinburgh,55.94471,-3.18742,279,United Kingdom,Europe
"Xanadu, Toronto, Ontario, Canada M5G 2C8","Toronto, Ontario, Canada M5G 2C8","Xanadu, Toronto",43.6534817,-79.3839347,280,Canada,North America
"Dahlem Center for Complex Quantum Systems, Freie Universität Berlin, 14195 Berlin, Germany","Freie Universität Berlin, 14195 Berlin, Germany","Dahlem Center for Complex Quantum Systems, Freie Universität Berlin",52.4549616,13.2962740073688,281,Germany,Europe
"JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111",,,282,,
"School of Computer Science, Faculty of Engineering, The University of Sydney, Darlington, NSW 2008, Australia","Faculty of Engineering, The University of Sydney, Darlington, NSW 2008, Australia","School of Computer Science, Faculty of Engineering",,,283,,
"Center on Frontiers of Computing Studies, Department of Computer Science, Peking University, Beijing 100871, China","Department of Computer Science, Peking University, Beijing 100871, China","Center on Frontiers of Computing Studies, Department of Computer Science",,,284,,
"School of Computer Science, Faculty of Engineering, The University of Sydney, Darlington, New South Wales","Faculty of Engineering, The University of Sydney, Darlington, New South Wales","School of Computer Science, Faculty of Engineering",,,285,,
"008, Australia","008, Australia",008,-34.6700166530612,-58.5328121591837,286,Argentina,South America
"Hon Hai Quantum Computing Research Center, Taipei 114, Taiwan","Hon Hai Quantum Computing Research Center, Taipei 114, Taiwan","Hon Hai Quantum Computing Research Center, Taipei 114",,,287,,
"SenseTime Research, Beijing, China","SenseTime Research, Beijing, China","SenseTime Research, Beijing",,,288,,
"Department of Mathematics, Technical University of Munich, Garching, Germany","Technical University of Munich, Garching, Germany","Department of Mathematics, Technical University of Munich",48.2655696,11.669345610438,289,Germany,Europe
"Munich Center for Quantum Science and Technology (MCQST), Munich, Germany","Munich Center for Quantum Science and Technology (MCQST), Munich, Germany","Munich Center for Quantum Science and Technology (MCQST), Munich",,,290,,
"Institute for Quantum Information and Matter, Caltech, Pasadena, CA, USA","Caltech, Pasadena, CA, USA","Institute for Quantum Information and Matter, Caltech",34.13701375,-118.125288248796,291,United States of America,North America
"Department of Computing and Mathematical Sciences, Caltech, Pasadena, CA, USA","Caltech, Pasadena, CA, USA","Department of Computing and Mathematical Sciences, Caltech",34.13701375,-118.125288248796,292,United States of America,North America
"Information Sciences, Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,293,United States of America,North America
"Center for Nonlinear Studies, Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Center for Nonlinear Studies, Los Alamos National Laboratory",35.81831485,-106.265427979899,294,United States of America,North America
"Joint Center for Quantum Information and Computer Science,","Joint Center for Quantum Information and Computer Science,","Joint Center for Quantum Information and Computer Science,",,,295,,
"University of Maryland, College Park, Maryland 20742, USA","College Park, Maryland 20742, USA","University of Maryland, College Park",38.99041245,-76.9438585924238,296,United States of America,North America
"Quantum Science Center, Oak Ridge, TN 37931, USA","Oak Ridge, TN 37931, USA","Quantum Science Center, Oak Ridge",36.0103562,-84.2696449,297,United States of America,North America
"Theoretical Division, Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Theoretical Division, Los Alamos National Laboratory",35.81831485,-106.265427979899,298,United States of America,North America
"Department of Physics, Harvard University, Cambridge, Massachusetts 02138, USA","Harvard University, Cambridge, Massachusetts 02138, USA","Department of Physics, Harvard University",42.36530955,-71.1154431036783,299,United States of America,North America
"Institute of High Performance Computing, Agency for Science, Technology and Research (A*STAR),","Institute of High Performance Computing, Agency for Science, Technology and Research (A*STAR),","Institute of High Performance Computing, Agency for Science",,,300,,
" Fusionopolis Way, #16-16 Connexis, Singapore 138632, Singapore","#16-16 Connexis, Singapore 138632, Singapore"," Fusionopolis Way, #16-16 Connexis",,,301,,
"Department of Mathematics, Zhejiang Sci-Tech University, Hangzhou, Zhejiang 310018, China","Zhejiang Sci-Tech University, Hangzhou, Zhejiang 310018, China","Department of Mathematics, Zhejiang Sci-Tech University",30.31545455,120.348695808155,302,,
"School of Mathematical Sciences, Zhejiang University, Hangzhou, Zhejiang 310027, China","Zhejiang University, Hangzhou, Zhejiang 310027, China","School of Mathematical Sciences, Zhejiang University",30.2963793,120.0720629,303,China,Asia
